id_farmacia,ean,stock,precio,promo
11,30160903,3.000,21568.00,No Promo
11,30161955,3.000,30050.00,No Promo
11,30162174,0,21568.00,No Promo
11,30162457,0,2224.00,No Promo
11,30162662,14.000,54600.00,No Promo
11,30162990,0,4405.00,No Promo
11,30164185,0,29266.00,No Promo
11,30166974,4.000,19699.00,40%
11,30167681,0,2276.00,No Promo
11,30167810,0,324.00,No Promo
11,30167834,0,324.00,No Promo
11,30171435,0,2276.00,No Promo
11,30173040,0,961.00,No Promo
11,30173132,0,1715.00,No Promo
11,30173293,0,1715.00,No Promo
11,30173316,0,732.00,No Promo
11,30173323,0,732.00,No Promo
11,30173385,0,1715.00,No Promo
11,30173446,0,28957.00,35%
11,30173583,4.000,28957.00,35%
11,30173613,4.000,28957.00,35%
11,30173644,2.000,28957.00,35%
11,30174108,0,18523.00,No Promo
11,30174122,0,3416.00,No Promo
11,30174146,0,2876.00,No Promo
11,30174184,0,15173.00,No Promo
11,30174191,0,18523.00,No Promo
11,30174207,0,18523.00,No Promo
11,30175228,2.000,22317.00,35%
11,30175532,0,2276.00,No Promo
11,30175549,0,2276.00,No Promo
11,30175563,0,2276.00,No Promo
11,30175570,0,2276.00,No Promo
11,30175792,0,29266.00,35%
11,30176546,0,2352.00,No Promo
11,30176553,0,2352.00,No Promo
11,30176720,0,32363.00,No Promo
11,30176737,3.000,32363.00,No Promo
11,30176744,0,3652.00,No Promo
11,30177468,3.000,32363.00,No Promo
11,30177482,1.000,32363.00,No Promo
11,30177499,0,32363.00,No Promo
11,30178557,0,8154.00,No Promo
11,30178625,0,29266.00,No Promo
11,30179493,0,21568.00,No Promo
11,30188181,3.000,27509.00,No Promo
11,30188204,2.000,27509.00,No Promo
11,30188211,3.000,27509.00,No Promo
11,30188228,3.000,27509.00,No Promo
11,30188235,3.000,27509.00,No Promo
11,30188242,2.000,27509.00,No Promo
11,30188266,3.000,27509.00,No Promo
11,42096276,0,175.00,No Promo
11,42171850,0,924.00,No Promo
11,42172543,0,37.00,No Promo
11,42172550,0,248.00,No Promo
11,42194699,0,1078.00,No Promo
11,42209522,0,22236.00,No Promo
11,42231486,0,924.00,No Promo
11,42231509,0,264.00,No Promo
11,42269847,0,248.00,No Promo
11,42277132,8.000,10875.00,40%
11,42277705,0,223.00,No Promo
11,42277712,0,4716.00,No Promo
11,42300076,0,217.00,No Promo
11,42300083,6.000,5447.00,No Promo
11,42333401,0,193.00,No Promo
11,42389422,0,858.00,No Promo
11,42389767,0,5447.00,No Promo
11,42417668,0,399.00,No Promo
11,42417675,6.000,4975.00,No Promo
11,42429142,6.000,4975.00,No Promo
11,46170257,0,288.00,No Promo
11,46170258,0,428.00,No Promo
11,46170262,0,247.00,No Promo
11,46170263,0,278.00,No Promo
11,46170264,0,472.00,No Promo
11,46170265,0,249.00,No Promo
11,50037209,0,218.25,No Promo
11,50042647,0,460.00,No Promo
11,50081974,0,5437.00,No Promo
11,50081981,0,7602.00,No Promo
11,50081998,0,5437.00,No Promo
11,50536467,0,699.00,No Promo
11,50544141,0,699.00,No Promo
11,50544158,0,2758.00,No Promo
11,50544172,0,699.00,No Promo
11,50544677,0,2758.00,No Promo
11,50544684,0,2758.00,No Promo
11,50544691,0,2758.00,No Promo
11,50637546,0,10685.00,No Promo
11,50671298,0,890.00,No Promo
11,50671304,0,3215.00,No Promo
11,50671373,0,10685.00,No Promo
11,50681686,0,890.00,No Promo
11,50683321,0,30585.00,No Promo
11,50683338,0,30585.00,No Promo
11,50683345,0,10685.00,No Promo
11,50683352,0,10685.00,No Promo
11,50683369,0,30585.00,No Promo
11,50683376,0,30585.00,No Promo
11,50884315,0,10703.00,No Promo
11,50884384,0,10703.00,No Promo
11,50884391,0,10703.00,No Promo
11,50884476,0,3161.00,No Promo
11,50884483,0,2350.00,No Promo
11,50884506,0,899.00,No Promo
11,50884513,0,2350.00,No Promo
11,50884520,0,899.00,No Promo
11,50884537,0,2350.00,No Promo
11,50884544,0,1100.00,No Promo
11,50884551,0,3161.00,No Promo
11,50884858,0,880.00,No Promo
11,50884957,0,880.00,No Promo
11,50889860,0,899.00,No Promo
11,60110015,0,297.00,No Promo
11,60110084,0,221.00,No Promo
11,60110091,0,438.00,No Promo
11,75024956,10.000,3831.00,No Promo
11,75026455,0,3831.00,No Promo
11,75027513,5.000,4530.00,40%
11,75027537,4.000,4505.00,No Promo
11,75031060,0,583.00,No Promo
11,75043308,0,354.00,No Promo
11,75047849,0,170.00,No Promo
11,75047856,0,170.00,No Promo
11,75048099,0,170.00,No Promo
11,75058845,0,170.00,No Promo
11,75058852,0,170.00,No Promo
11,75062613,0,359.00,No Promo
11,75063115,0,123.00,No Promo
11,75067038,0,211.00,No Promo
11,75067069,0,250.00,No Promo
11,75067373,0,340.00,No Promo
11,75067410,0,322.00,No Promo
11,75067946,0,573.00,No Promo
11,75068066,0,264.00,No Promo
11,75068493,0,371.00,No Promo
11,75068677,0,122.00,No Promo
11,75068684,0,150.00,No Promo
11,75069209,0,351.00,No Promo
11,75069216,0,3831.00,No Promo
11,75076771,0,3831.00,No Promo
11,75076788,10.000,3831.00,No Promo
11,75076795,0,3831.00,No Promo
11,77020512,0,1500.00,No Promo
11,77900296,0,4467.00,No Promo
11,77900302,0,1904.00,No Promo
11,77900319,0,381.00,No Promo
11,77900388,0,13.00,No Promo
11,77900470,0,3553.00,No Promo
11,77901446,0,265.00,No Promo
11,77901576,0,48.00,No Promo
11,77902290,0,13.00,No Promo
11,77902306,0,13.00,No Promo
11,77904331,0,156.00,No Promo
11,77904522,0,2.00,No Promo
11,77904829,0,1250.00,No Promo
11,77905017,0,34.00,No Promo
11,77905048,0,34.00,No Promo
11,77905062,0,34.00,No Promo
11,77905086,0,1265.00,No Promo
11,77906519,0,3553.00,No Promo
11,77908384,2.000,6825.00,No Promo
11,77908391,3.000,10342.00,No Promo
11,77911446,0,230.00,No Promo
11,77911810,0,1308.00,No Promo
11,77919212,0,174.00,No Promo
11,77923240,0,7455.00,No Promo
11,77927712,0,210.00,No Promo
11,77928566,0,1881.00,No Promo
11,77931252,0,65.00,No Promo
11,77940704,0,114.00,No Promo
11,77941190,0,182.00,No Promo
11,77941299,0,182.00,No Promo
11,77941305,0,182.00,No Promo
11,77941824,0,185.00,No Promo
11,77941855,0,116.00,No Promo
11,77941879,0,192.00,No Promo
11,77941909,0,562.00,No Promo
11,77941923,10.000,1881.00,No Promo
11,77941930,6.000,1881.00,No Promo
11,77942227,0,170.00,No Promo
11,77942234,0,170.00,No Promo
11,77942289,0,170.00,No Promo
11,77942333,0,124.00,No Promo
11,77942340,0,106.00,No Promo
11,77944542,0,230.00,No Promo
